ID,STORE,NAME,X,Y,CLASS,CLIMATE,FOOD,DC,MILES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TTL
557 ,1056 ,BINGHAMTON VESTAL,-76.03,42.05,A,1,Y,3802 ,136 ,41880 ,43765 ,57291 ,43292 ,41506 ,56738 ,47948 ,50994 ,55570 ,45103 ,55929 ,72856 ,612872 
558 ,1057 ,BUF-ORCHARD PARK,-78.74,42.75,A,1,Y,3804 ,336 ,44804 ,46820 ,61291 ,46315 ,44404 ,60699 ,51296 ,54554 ,59450 ,48252 ,59833 ,77943 ,655661 
559 ,1058 ,COLUMBUS CENTRAL,-83.04,39.99,A,2, ,3804 ,25 ,42175 ,44073 ,57694 ,43597 ,41798 ,57137 ,48286 ,51353 ,55961 ,45421 ,56322 ,73369 ,617186 
560 ,1059 ,NASHVILLE EAST,-86.66,36.16,C,4, ,580 ,124 ,19141 ,20003 ,26185 ,19786 ,18970 ,25932 ,21914 ,23307 ,25398 ,20614 ,25562 ,33299 ,280110 
561 ,1060 ,MADISON WEST,-89.52,43.08,AA,1,Y,557 ,61 ,60137 ,59851 ,78349 ,62165 ,59600 ,81472 ,68850 ,73224 ,79795 ,64766 ,80310 ,104617 ,873136 
562 ,1061 ,AUSTIN SW,-97.86,30.21,A+,7, ,578 ,244 ,47370 ,49502 ,64802 ,48967 ,46947 ,64176 ,54234 ,57679 ,62855 ,51016 ,63261 ,82407 ,693217 
563 ,1062 ,SAND CITY,-121.82,36.63,A,3,Y,593 ,205 ,45317 ,47357 ,61993 ,46845 ,44912 ,61394 ,51883 ,55179 ,62116 ,50786 ,58538 ,76854 ,663174 
564 ,1063 ,IND-CARMEL,-86.17,39.97,C,1, ,559 ,29 ,27870 ,29124 ,38126 ,28810 ,27621 ,37757 ,31908 ,33935 ,36980 ,30015 ,37219 ,48484 ,407848 
565 ,1064 ,WENATCHEE,-120.35,47.44,D,1, ,558 ,349 ,17669 ,18465 ,24171 ,18265 ,17512 ,23938 ,20229 ,21515 ,23445 ,19029 ,23597 ,30738 ,258573 
566 ,1065 ,DFW-ROCKWELL,-96.41,32.86,C,4,Y,578 ,80 ,26171 ,26046 ,34096 ,25765 ,24702 ,33767 ,29962 ,31866 ,34726 ,28185 ,34950 ,45527 ,375762 
567 ,1066 ,AUS-ROUND ROCK,-97.669398,30.479136,C,7, ,578 ,220 ,17103 ,17872 ,23396 ,17679 ,16950 ,23170 ,19581 ,20825 ,22693 ,18419 ,22840 ,29752 ,250280 
568 ,1068 ,OWATONNA,-93.23,44.06,D,1, ,590 ,142 ,13037 ,13623 ,17834 ,13476 ,12920 ,17662 ,14926 ,15874 ,17298 ,14040 ,17410 ,22679 ,190779 
